Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,Long,Lat
Garrett,Lucy,Julia Wood,F,19,null,12,May,1854,Western Shore,null,VA,null,null,null,null,John Williams,null,-76.51134,38.49151
Jackson,Anna Maria,null,F,40,B,null,Nov,1858,Milford,Sussex,DE,null,null,null,null,Joseph Brown,null,-75.42854,38.9107
Jackson,Ebenezer T.,null,M,null,null,null,Nov,1858,Milford,Sussex,DE,X,null,null,null,Joseph Brown,null,-75.42854,38.9107
Jackson,Frances,null,F,null,null,null,Nov,1858,Milford,Sussex,DE,X,null,null,null,Joseph Brown,null,-75.42854,38.9107
Jackson,John E.,null,M,null,null,null,Nov,1858,Milford,Sussex,DE,X,null,null,null,Joseph Brown,null,-75.42854,38.9107
Jackson,Mary Ann,null,F,null,null,null,Nov,1858,Milford,Sussex,DE,X,null,null,null,Joseph Brown,null,-75.42854,38.9107
Jackson,Wilhelmina,null,F,null,null,null,Nov,1858,Milford,Sussex,DE,X,null,null,null,Joseph Brown,null,-75.42854,38.9107
Jackson,William Albert,null,M,null,null,null,Nov,1858,Milford,Sussex,DE,X,null,null,null,Joseph Brown,null,-75.42854,38.9107
Jackson,William Henry,null,M,null,null,null,Nov,1858,Milford,Sussex,DE,X,null,null,null,Joseph Brown,null,-75.42854,38.9107
Stinger,John,null,M,40,M,24,Oct,1857,Portsmouth,Norfolk,VA,null,null,null,Skiff,Joseph Carter,null,-76.29771,36.83273
Jackson,James Henry,null,M,17,null,10,Sept,1858,Frederica,Kent,DE,X,null,null,null,Joseph Brown,200 in state/100 out,-75.46459,39.01124
Swan,Stebney,null,M,34,M,24,Oct,1857,Portsmouth,Norfolk,VA,null,X,null,Skiff,Joseph Carter,null,-76.29771,36.83273
Gross,Peter,null,M,39,B,10,Sept,1858,null,Culbert,MD,null,null,null,null,Joseph Griffiss,null,0,0
Janney,John,null,M,22,null,10,Sept,1858,null,Culbert,MD,null,null,null,null,Joseph Griffiss,200 in state/100 out,0,0
Mills,Sarah Ann,null,F,16,null,null,null,1859,Haggerstown,Washington,MD,X,null,null,null,Joseph O'Neil,null,-77.71758,39.6425
Edwards,David,null,M,24,B,null,null,1860,Patapsco River,Howard,MD,null,null,null,null,Joseph Bryant,null,-76.68991,39.21466
Peck,Lewis,null,M,null,B,null,null,1860,Patapsco River,Howard,MD,null,null,null,null,Joseph Bryant,null,-76.68991,39.21466
Dauphus,Etna Elizabeth,null,F,20,B,null,null,1858,null,Queen Annes,MD,null,null,null,null,Joshua Duvall,null,0,0
Davis,William,null,M,31,M,13,Dec,1853,Portsmouth,Norfolk,VA,null,null,null,null,Joseph Reynolds,null,-76.29771,36.83273
Jones,William Henry,null,M,2,null,null,null,1858,null,Queen Annes,MD,X,null,null,null,Joshua Duvall,null,0,0
Jones,Catharine,null,F,24,B,null,null,1858,null,Queen Annes,MD,null,null,null,null,Joshua Duvall,null,0,0
Brown,John,Jacob Williams,M,null,null,3,Apr,1854,Frederickstown,Cecil,MD,null,null,null,null,Joseph Postly,null,-75.88508,39.36564
Washington,George Nelson,null,M,19,null,null,null,1858,null,Queen Annes,MD,null,null,null,null,Joshua Duvall,null,0,0
Gross,Samuel,null,M,40,null,10,Sept,1858,George Island,Port Republic,MD,null,null,null,null,Joseph Griffiss,null,-75.39067,38.04872
Roach,John,null,M,33,null,null,null,1859,Seaford,Sussex,DE,null,null,null,Foot,Joshua O'Bear,null,-75.60905,38.64374
Atkinson,Anthony,null,M,36,M,1,Aug,1855,Norfolk,Norfolk,VA,null,null,null,null,Josiah Wells,null,-76.28514,36.84686
null,David,null,M,27,null,31,May,1856,Leesburg,Loudon,VA,null,null,null,Horse & Carriage,Joshua Pusey,null,-77.56578,39.1158
Lewis,David,null,M,27,null,3,Jun,1856,Leesburg,Loudon,VA,null,null,null,null,Joshua Pussey,null,-77.56578,39.1158
Griffin,James,Thomas Brown,M,31,B,20,Dec,1855,Baltimore,Baltimore,MD,null,null,null,null,Joshua Hitch,null,-76.60926,39.29058
Wood,John,null,M,28,null,null,null,1857,Unionville,Frederick,MD,null,X,null,null,Judge Birch,null,-77.18593,39.475
Collins,Nathaniel,null,M,25,B,null,null,1857,Cambridge,Dorchester,MD,null,null,null,null,Josiah Wilson,null,-76.07806,38.56312
Henry,Thomas,null,M,26,B,null,null,1857,Cambridge,Dorchester,MD,null,null,null,Foot,Josian Wilson,null,-76.07806,38.56312
Wooden,William,William Nelson,M,23,B,21,May,1854,Georgetown,Sussex,DE,null,null,null,null,Judge Wooden,null,-75.38674,38.69072
Fuller,Harriet,null,F,null,null,null,null,1859,Chestertown,Kent,MD,null,null,null,null,Judge Chambers,null,-76.06615,39.2131
Weems,John,Jack Herring,M,null,null,null,null,1858,null,null,DE,null,null,null,null,Kendall B. Herring,null,0,0
Brown,Stepney,null,M,34,B,null,null,1859,Richmond,Henrico,VA,null,null,null,null,Julia A. Mitchell,null,-77.43367,37.54068
Mason,James,null,M,24,null,null,null,1858,Petersburg,Dinwiddle,VA,null,X,null,null,Judith Burton,null,-77.40348,37.22815
Lazarus,James,null,M,null,null,null,null,1859,Laurel,Sussex,DE,null,null,null,null,Kendall Major Lewis,null,-75.56292,38.55627
Conner,null,null,F,null,null,null,null,1859,Laurel,Sussex,DE,null,null,null,null,Kendall Major Llewis,null,-75.56292,38.55627
Conner,Major Lewis,null,M,null,null,null,null,1859,Laurel,Sussex,DE,null,null,null,null,Kendall Major Llewis,null,-75.56292,38.55627
Conner,null,null,null,null,null,null,null,1859,Laurel,Sussex,DE,X,null,null,null,Kendall Major Llewis,null,-75.56292,38.55627
Conner,Dennis B.,null,M,null,null,null,null,1859,Laurel,Sussex,DE,null,null,null,null,Kendall Major Llewis,null,-75.56292,38.55627
Conner,Peter,null,M,null,null,null,null,1859,Laurel,Sussex,DE,null,null,null,null,Kendall Major Llewis,null,-75.56292,38.55627
Bell,Louisa,null,F,28,B,22,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,L. Stasson,null,-76.28514,36.84686
Conner,William J.,null,M,null,null,null,null,1859,Laurel,Sussex,DE,null,null,null,null,Kendall Major Llewis,null,-75.56292,38.55627
Hall,Rebecca,null,F,17,null,4,Aug,1855,Baltimore,Baltimore,MD,X,null,null,null,Lawyer Magill,null,-76.60926,39.29058
Cannon,Ansel,null,M,25,B,null,null,1859,New Market,Dorchester,MD,null,null,null,null,Kitty Cannon,null,-77.27232,39.38279
Parker,Levin,null,M,22,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,null,Lawrence G. Colson,null,-76.07806,38.56312
Brown,Jacob,null,M,20,B,null,null,1856,null,null,NC,null,null,null,Boat,Lewis Brown,null,0,0
Moor,Henry,null,M,30,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,X,Foot,Levin Dale,null,-76.07806,38.56312
Chiles,Lewis,null,M,null,null,2,Jun,1855,Richmond,Henrico,VA,null,null,null,null,Lewis Hill,null,-77.43367,37.54068
Williams,Hanson,null,M,40,B,11,Sept,1858,Washington,null,DC,null,null,null,null,Levi Pumphrey,100,-77.03196,38.89037
Hogg,William,John Smith,M,25,null,26,Apr,1854,Baltimore,Baltimore,MD,null,null,null,Foot,Lewis Roberts,null,-76.60926,39.29058
Young,Gusta,null,M,21,B,11,Sept,1858,Washington,null,DC,null,null,X,null,Levi Pumphrey,100,-77.03196,38.89037
Tatum,Alan,null,M,30,B,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Lovey White,null,-76.28514,36.84686
Lee,John,null,M,null,null,10,Aug,1854,Fayetteville,null,NC,null,null,null,null,Luke Gaines,null,-78.87727,35.05534
Wanzer,Frank,Robert Scott,M,25,M,24,Dec,1855,Alder,Loudon,VA,null,null,X,Horse & Carriage,Luther Sullivan,null,-77.07192,38.2743
Brown,William,null,M,36,null,null,null,1860,Baltimore,Baltimore,MD,null,null,null,null,Lynchum,null,-76.60926,39.29058
Ross,George,John Brown,M,26,null,29,Dec,1854,Horses Crossroads,null,DE,null,null,null,null,Lewis N. Wright,null,-75.67799,38.70873
Hilton,Elijah,null,M,27,null,14,Jul,1857,null,Chesterfield,VA,null,X,null,Foot,Major Edward Johnson,500,0,0
Thompson,William,null,M,null,null,29,Dec,1854,Horses Crossroads,null,DE,null,null,null,null,Lewis N. Wright,null,-75.67799,38.70873
White,Tucker,null,M,null,null,null,Dec,1854,Dinwiddle,Dinwiddle,VA,null,null,null,null,Major Isaac Rooney,null,-77.58644,37.07828
Payne,Daniel,null,M,null,null,1,Jun,1855,Richmond,Henrico,VA,null,null,null,null,M.M. Morris,null,-77.43367,37.54068
Hall,Jacob,Henry Thomas,M,20,null,8,Dec,1855,Ladies Manor,Haverford,MD,null,null,null,Horseback,Major William Hutchins,null,-76.95581,39.49316
King,Charles,null,M,23,null,25,Sept,1854,Norfolk,Norfolk,VA,null,null,null,null,Martha M. Hope,null,-76.28514,36.84686
Brown,Solomon,null,M,22,B,13,Feb,1854,Norfolk,Norfolk,VA,null,null,null,Steamer,Mary A. Ely,null,-76.28514,36.84686
Johnson,Cornelius Henry,null,M,26,B,null,null,1859,Richmond,Henrico,VA,null,null,null,null,Mars. Mary F. Price,null,-77.43367,37.54068
Govan,William,null,M,33,B,null,Aug,1855,Petersburg,Dinwiddle,VA,null,null,null,Schooner,"Mark Davis, Esq.",null,-77.40348,37.22815
Bennett,John,Joseph Pant,M,27,null,22,Feb,1857,St. Michaels,null,MD,null,null,null,null,Mary C. Gibson,null,-76.22403,38.78442
Brown,Chaskey,null,M,24,B,null,null,null,Chestertown,Kent,MD,null,null,null,Foot,Major James H. Gales,1200,-76.06615,39.2131
Payne,Oscar,null,M,30,M,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Mary Dade,150 in state/200 out,-77.04341,38.8046
Pinket,John,null,M,27,B,null,null,1859,New Market,Dorchester,MD,null,null,null,null,Mary Brown,null,-77.27232,39.38279
Piney,Benjamin,null,M,20,B,null,null,1856,Baltimore,Baltimore,MD,null,null,null,null,Mary Hawkins,null,-76.60926,39.29058
Douglass,Thomas,null,M,25,B,null,null,null,null,null,MD,null,null,null,null,Mary Howard,null,0,0
Grant,Joseph,null,M,27,B,22,Feb,1857,Eastern Shore,null,MD,null,null,null,Foot & Boat,Mary Gibson & others,null,-80.1356,25.9337
Moore,Hannah,Aunt Hannah,F,57,null,null,null,1854,null,null,MO,null,null,null,null,Mary Moore,null,0,0
Bell,Garret,null,M,8 mos,null,null,null,null,null,Kent,MD,X,null,null,null,Massey,null,0,0
Bell,Sarah Jane,null,F,25,M,null,null,null,null,Kent,MD,null,null,null,null,Massey,null,0,0
Sparks,John,null,M,null,null,22,Feb,1857,Eastern Shore,null,MD,null,null,null,Foot & Boat,Mary Gibson & Others,null,-80.1356,25.9337
Young,Anna Elizabeth,null,F,24,B,null,null,null,null,Kent,MD,null,null,null,null,Massey,null,0,0
Young,Sarah Catharine,null,F,19 mos,null,null,null,null,null,Kent,MD,X,null,null,null,Massey,null,0,0
Hubert,Alfred,null,M,28,B,null,null,1857,null,null,VA,null,null,null,Foot,Matilda Niles,null,0,0
Ennis,Ephraim,null,M,null,null,null,null,1858,null,Kent,MD,null,null,null,null,Michael Newbold,null,0,0
Taylor,Benjamin,null,M,20,null,null,null,1858,Alexandria,Fairfax,VA,null,null,X,null,Meed,null,-77.04341,38.8046
Irwin,Asbury,null,M,40,B,null,null,1858,null,Kent,MD,null,null,null,null,Michael Newbold,null,0,0
Harding,Louisa,Rebecca Hall,F,17,M,1,Aug,1855,Baltimore,Baltimore,MD,X,null,null,null,"McGill, Esq.",null,-76.60926,39.29058
Johns,Lydia Ann,null,F,22,B,null,null,1858,null,Kent,MD,null,null,null,null,Michael Newbold,null,0,0
Pettifoot,John Henry,Sydney,M,26,M,null,null,1858,Richmond,Henrico,VA,null,X,null,Steamer,McHenry & McCulloch,100,-77.43367,37.54068
Benjamin,Dickinson,null,M,28,B,23,Mar,1856,null,null,null,null,null,null,Schooner,Miss Ann Blunte,null,0,0
Mitchell,John,null,M,24,B,2,Feb,1858,Viana,null,null,null,null,null,null,Miss Catharine Cornwell,null,-84.03833,37.83628
Galloway,Abram,null,M,21,M,null,null,null,Wilmington,New Hanover,NC,null,null,null,Schooner,Milton Hawkins,null,-77.946,34.23497
Dickerson,Benjamin,null,M,28,null,25,Mar,1856,Eatontown,Chowan,NC,null,null,null,null,Miss Anna Blunt,null,-74.05791,40.30554
Ford,Sheridan,null,M,28,null,29,Jan,1855,Portsmouth,Norfolk,VA,null,null,null,Steamer,Miss Elizabeth Brown,null,-76.29771,36.83273
Judah,John,null,M,32,M,1,Jun,1855,Petersburg,Dinwiddle,VA,null,null,null,Schooner,Miss Eliza Lambert,null,-77.40348,37.22815
Ball,Joe,null,M,34,M,null,null,1857,Alexandria,Fairfax,VA,null,X,null,null,Miss Elizabeth Gordon,null,-77.04341,38.8046
Ball,Oscar D.,John Delaney,M,20,B,13,null,1857,Alexandria,Fairfax,VA,null,X,null,null,Miss Elizabeth Gordon,"100 in state, 200 out",-77.04341,38.8046
Dowling,Carter,null,M,null,null,null,null,1858,Alexandria,Fairfax,VA,null,null,X,null,Miss Maria Fitzhugh,null,-77.04341,38.8046
Nixon,Thomas,null,M,19,B,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Mr. Bockover,null,-76.28514,36.84686
Purnell,Oliver,null,M,26,B,17,Nov,1855,Berlin,Worcester,MD,null,null,null,null,Moses Purnell,null,-75.21836,38.3222
Rister,Amarian Lucretia,null,F,21,M,null,null,1857,Westminster,Carroll,MD,null,null,null,null,Mr. Boile,null,-76.99225,39.57467
Johnson,George,null,M,25,B,22,Aug,1857,Washington,Washington,DC,null,null,null,null,Miss Eleanor J. Conway,100 in state/300 out,-77.03196,38.89037
Nixon,Frederick,null,M,35,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Mr. Brockover,null,-76.28514,36.84686
Logan,John W.,null,M,null,null,10,Apr,1856,Little Georgetown,Berkley,VA,null,null,null,null,Miss Cox,null,-77.73249,38.82317
Combash,John Wesley,null,M,32,B,11,Apr,1858,null,null,MD,null,null,null,null,Mr. Johnson,null,0,0
Chion,William,null,M,27,B,null,null,1860,null,Dorchester,MD,null,null,null,null,Mr. Tubman,null,0,0
Walker,John,null,M,25,null,13,Sept,1853,Clarksville,Mecklenburg,VA,null,null,null,null,Mr. Easley,null,-78.55679,36.62455
Giles,Lewis,null,M,null,null,2,Jun,1855,Richmond,Henrico,VA,null,null,null,null,Mr. Lewis Hill,null,-77.43367,37.54068
Triplett,William,null,M,23,B,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Mrs. A.B. Fairfax,null,-77.04341,38.8046
Taylor,Roberta,null,F,23,M,null,null,1858,Baltimore,Baltimore,MD,null,X,null,null,Mrs. & Mrs. McCoy,null,-76.60926,39.29058
Davis,Clarissa,Mary D. Armstead,F,20,B,22,May,1854,Portsmouth,Norfolk,VA,null,X,null,Steamer,Mrs. Brown & Mrs. Burkley,1000,-76.29771,36.83273
Nichols,Randolph,null,M,20,null,null,null,null,null,null,MD,null,null,null,null,Mrs. Caroline Brang,null,0,0
Millburn,Mary,Louisa F. Jones,F,null,null,null,May,1858,Norfolk,Norfolk,VA,null,X,null,null,Mrs. Chapman,null,-76.28514,36.84686
Francis,Lewis,Lewis Johnson,M,27,null,30,Dec,1855,Abingdon,Harford,MD,null,null,null,null,Mrs. Delinas,null,-76.27846,39.46367
Clayton,John,null,M,20,M,26,Feb,1854,Richmond,Henrico,VA,null,X,null,null,Mrs. Clayton,null,-77.43367,37.54068
Goins,Luke,null,M,null,null,null,null,1860,Harpers Ferry,null,VA,null,null,null,null,Mrs. Carroll,null,-91.15331,43.20291
Johnson,Henry,null,M,19,B,4,Jun,1857,Abingdon,Harford,MD,null,null,null,null,Mrs. Elizabeth Brown,500,-76.27846,39.46367
Colburn,Jeremiah,William Cooper,M,null,M,null,null,1857,Charleston,Charleston,SC,null,null,null,null,Mrs. E. Williamson,null,-79.9316,32.78115
Morgan,Edward,null,M,21,B,4,Jun,1857,Abingdon P.O.,Harford,MD,null,null,null,null,Mrs. Elizabeth Brown,500,-76.27846,39.46367
Chapman,Emeline,null,F,25,B,30,Aug,1856,Washington,null,DC,null,null,null,Foot,Mrs. Emily Thompson,300 in state,-77.03196,38.89037
Scott,Anna,null,F,null,null,null,Dec,1855,Cecil Cross Roads,null,MD,null,null,null,null,Mrs. Ann Elizabeth Lushy,null,-75.86744,39.404
Chapman,John Henry,null,M,7 mos,M,30,Aug,1856,Washington,null,DC,X,null,null,Foot,Mrs. Emily Thompson,null,-77.03196,38.89037
Chapman,Margaret Ann,null,F,2,B,30,Aug,1856,Washington,null,DC,X,null,null,Foot,Mrs. Emily Thompson,null,-77.03196,38.89037
Forman,Ellen,Elizabeth Young,F,30,B,16,May,1854,Baltimore,Baltimore,MD,null,null,null,null,Mrs. Johnson,null,-76.60926,39.29058
Loney,Cordelia,null,F,57,M,30,Mar,1859,Fredericksburg,Spotsylvania,VA,null,null,null,Foot,Mrs. Joseph Cahell,null,-77.45933,38.30118
Logan,George,null,M,23,B,10,Apr,1856,Georgetown,Northumberland,VA,null,null,null,null,Mrs. Jane Coultson,null,-76.44662,37.8313
Hillis,John,null,M,null,null,null,null,1859,New Market,Dorchester,MD,null,null,null,Schooner,Mrs. Louisa Lecount,null,-77.27232,39.38279
Epps,Mary,Emma Brown,F,45,B,1,Mar,1855,Petersburg,Dinwiddle,VA,null,X,null,null,Mrs. Littleton Reeves,null,-77.40348,37.22815
Jones,Mary,null,F,null,null,null,null,1858,Washington,null,DC,null,null,null,null,Mrs. Henry Harding,null,-77.03196,38.89037
Bell,Susan,null,F,4,null,null,null,1858,Washington,Washington,DC,X,null,null,null,Mrs. Henry Harding,null,-77.03196,38.89037
Sheldon,James,null,M,null,null,7,Sept,1857,Norfolk,Norfolk,VA,null,X,null,null,Mrs. Maria Hansford,null,-76.28514,36.84686
Oliver,William,null,M,26,B,null,null,1859,null,Prince Georges,MD,null,null,null,null,Mrs. Marshall,null,0,0
Jackson,null,null,F,null,null,null,null,1858,Georgetown,null,DC,X,null,null,null,Mrs. Margaret Dick,null,-77.0628,38.90502
Jackson,Rebecca,null,F,37,M,null,null,1858,Georgetown,null,DC,null,null,null,null,Mrs. Margaret Dick,null,-77.0628,38.90502
Jackson,Robert,null,M,null,null,null,null,1858,null,null,DE,null,null,null,null,Mrs. Mary Hickman,null,0,0
Henson,James,null,M,null,null,null,null,1860,Baltimore,Baltimore,MD,null,null,null,null,Mrs. Maria Thomas,null,-76.60926,39.29058
Dulton,Charles,William Robinson,M,22,null,28,Sept,1856,null,null,MD,null,null,null,null,Mrs. Mary Hurley,null,0,0
Forman,Isaac,null,M,23,M,null,Dec,1853,Norfolk,Norfolk,VA,null,X,null,Steamer,Mrs. Sanders,null,-76.28514,36.84686
Allen,Andrew,null,M,24,B,null,null,1857,Norfolk,Norfolk,VA,null,null,null,null,Mrs. Sarah Twyne,null,-76.28514,36.84686
Carney,William,null,M,51,B,null,null,1857,Norfolk,Norfolk,VA,null,null,null,null,Mrs. Sarah Twyne,null,-76.28514,36.84686
Dalton,Charles,William Robinson,M,22,null,28,Sept,1854,Cambridge,Dorchester,MD,null,null,null,null,Mrs. Mary Hurley,null,-76.07806,38.56312
Eden,Richard,null,M,25,null,null,null,null,Wilmington,New Castle,NC,null,null,null,null,Mrs. Mary Loren,null,-77.946,34.23497
Robinson,Miles,null,M,22,null,null,null,1859,Richmond,Henrico,VA,null,null,null,null,Mrs. Roberts,null,-77.43367,37.54068
Mackey,William,null,M,null,null,null,null,1858,Norfolk,Norfolk,VA,null,null,null,null,Mrs. Tunis,null,-76.28514,36.84686
Cannon,Plymouth,null,M,42,M,2,Feb,1858,null,null,null,null,null,null,null,Nat Horsey,null,0,0
Pry,Sauney,null,M,27,B,null,null,1856,null,Loudon,VA,null,null,null,null,Nathan Clapton,null,0,0
Mercer,James,null,M,19,B,26,Feb,1854,Richmond,Henrico,VA,null,X,null,Steamer,Mrs. T.E. White,null,-77.43367,37.54068
Gilliam,William H.,null,M,20,B,26,Feb,1854,Richmond,Henrico,VA,null,X,null,Steamer,Mrs. T.E. White,null,-77.43367,37.54068
Cooper,Mary,null,F,20,B,null,null,1857,null,null,DE,null,null,null,null,Nathaniel Herne,null,0,0
Taylor,Caroline,null,F,null,M,23,Mar,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,"Peter March, Esq.",null,-76.28514,36.84686
Smith,Vincent,John Jackson,M,23,B,18,Aug,1856,Alder,Loudon,VA,null,X,null,Foot,Nathan Skinner,null,-77.07192,38.2743
Taylor,Mary,null,F,9,null,23,Mar,1856,Norfolk,Norfolk,VA,X,null,null,Schooner,"Peter March, Esq.",null,-76.28514,36.84686
Taylor,Nancy,null,F,11,null,23,Mar,1856,Norfolk,Norfolk,VA,X,null,null,Schooner,"Peter March, Esq.",null,-76.28514,36.84686
Sperryman,George,Thomas Johnson,M,null,null,28,July,1856,Richmond,Henrico,VA,null,null,null,null,Nicholas Templeman,null,-77.43367,37.54068
Cotton,Henry,null,M,24,null,null,null,1860,Newton,Somerset,MD,null,null,null,null,Nathaniel Dixon,null,-75.92852,38.75703
Howard,Henry,null,M,27,null,1,Jun,1855,Ladies Manor,Haverford,MD,null,null,null,null,Phillip Garrison,null,-76.95581,39.49316
Matterson,null,null,M,null,null,2,Nov,1853,Martinsburg,Henry,VA,null,null,X,Foot & Carriage,Philip Pendelton,null,-77.96477,39.45641
Matterson,null,null,M,null,null,2,Nov,1853,Martinsburg,Henry,VA,null,null,X,Foot & Carriage,Philip Pendelton,null,-77.96477,39.45641
Matterson,null,null,M,null,null,2,Nov,1853,Martinsburg,Henry,VA,null,null,X,Foot & Carriage,Philip Pendelton,null,-77.96477,39.45641
Kane,Jane,Catherine Kane,F,22,null,29,Dec,1854,null,Dorchester,MD,null,null,null,null,Rash Jones,null,0,0
Williamson,William,null,M,24,null,null,null,1858,Perrymanville,Cecil,MD,null,null,null,null,Rebecca Davidge,null,-76.2044,39.46955
Unidentified,null,null,F,null,null,14,Aug,1854,null,null,DE,null,null,null,null,Rebecca Johnson,null,0,0
Kelley,Henson,null,M,null,null,null,null,1860,Baltimore,Baltimore,MD,null,null,null,null,Reason Hastell,null,-76.60926,39.29058
Harris,Wesley,Robert Jackson,M,22,B,2,Nov,1853,Martinsburg,Henry,VA,null,null,X,Foot & Carriage,Phillip Pendelton,null,-77.96477,39.45641
Cornish,null,null,null,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,null,Reuben E. Phillips,null,-76.07806,38.56312
Cornish,Daffney,null,F,null,null,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,null,Reuben E. Phillips,200 in state/300 out,-76.07806,38.56312
Cornish,Edward J.,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,null,Reuben E. Phillips,null,-76.07806,38.56312
Cornish,George A.,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,null,Reuben E. Phillips,null,-76.07806,38.56312
Cornish,Joseph,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,null,Reuben E. Phillips,null,-76.07806,38.56312
Cornish,Solomon,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,Reuben E. Phillips,null,-76.07806,38.56312
Cornish,Perry L.,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,null,Reuben E. Phillips,null,-76.07806,38.56312
Smith,Page,null,F,9,null,10,May,1854,Wilmington,New Castle,DE,X,null,null,null,Rev. A.D. Pollock,null,-75.55084,39.74023
Smith,Sarah,Mildred Page,F,30,B,10,May,1854,Wilmington,New Castle,DE,null,null,null,null,Rev. A.D. Pollock,null,-75.55084,39.74023
Cornish,Aaron,null,M,38,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,null,Rev. Levi D. Traverse,200 in state/300 out,-76.07806,38.56312
Booze,Jacob Mathias,null,M,20,null,7,Feb,1855,Annapolis,Anne Arundel,MD,null,null,null,null,Richard Carmen,null,-76.49014,38.97678
Boyer,Jacob Mathias,null,M,20,B,null,null,1855,Annapolis,Anne Arundel,ML,null,null,null,null,Richard Carman,null,-76.49014,38.97678
Menia,Jane Matilda,Mary Parker,F,null,null,6,Apr,1853,Annapolis,Anne Arundel,MD,null,null,null,null,Richard Ducke,null,-76.49014,38.97678
Saunders,Sarah,null,F,null,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,Richard Gatewood,null,-76.28514,36.84686
Dickson,John,null,M,30,null,7,Oct,1854,Dawson,Allegany,MD,null,null,null,null,Richard Kaigh,null,-78.9438,39.47693
Harris,Benjamin F.,Benjamin Franklin,M,30,null,24,Aug,1854,Baltimore,Baltimore,MD,null,null,null,null,Richard Farmer,null,-76.60926,39.29058
Harris,Franklin,null,M,6,null,24,Aug,1854,Baltimore,Baltimore,MD,X,null,null,null,Richard Farmer,null,-76.60926,39.29058
Huges,Daniel,null,M,null,B,null,Mar,1857,Bucktown,Dorchester,MD,null,null,null,Foot,Richard Meredith,null,-76.05248,38.45695
Elliot,Thomas,null,M,23,B,null,Mar,1857,Bucktown,Dorchester,MD,null,null,null,null,Richard Meredith,null,-76.05248,38.45695
Wiggins,Daniel,null,M,29,null,16,Mar,1854,Norfolk,Norfolk,VA,null,X,null,null,Richard Scott,null,-76.28514,36.84686
Good,Beverley,null,M,24,null,18,Jan,1855,Petersburg,Dinwiddle,VA,null,null,null,Steamer,Richard Perry,null,-77.40348,37.22815
Beesly,Dick,null,M,null,B,null,null,null,Wheldon,Halifax,NC,null,null,null,null,Richard Smallwood,null,-77.59765,36.42677
Stanly,Daniel,null,M,35,null,17,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,Robert Calender,null,-76.07806,38.56312
Stanly,"Daniel, Jr.",null,M,null,null,17,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,Robert Calender,null,-76.07806,38.56312
Wright Crossroads,Leeds,null,M,null,null,null,null,1857,Georget'n Crossroads,Kent,MD,null,null,null,null,Rev. John Wesley Pearson,null,-88.71499,30.8856
Branson,Randolph,null,M,31,B,null,null,1857,Washington,null,DC,null,null,null,null,Richard Reed,null,-77.03196,38.89037
Smith,Edward,null,M,17,null,null,null,1858,Belleair,Harford,MD,X,null,null,null,Robert Hollan,null,-76.1719,39.22261
Smith,Henry,null,M,23,B,null,null,1858,Belleair,Harford,MD,null,null,null,null,Robert Hollan,null,-76.1719,39.22261
Peel,William,"William ""Box"" Jones",M,23,B,null,Apr,1859,Baltimore,Baltimore,MD,null,null,null,Steamer,Robert Carr,null,-76.60926,39.29058
Smith,James,null,M,null,null,null,null,1858,Belleair,Harford,MD,X,null,null,null,Robert Hollan,null,-76.1719,39.22261
Smith,Julius,null,M,25,B,null,null,1858,Belleair,Harford,MD,null,null,null,null,Robert Hollan,null,-76.1719,39.22261
Smith,Mary,null,F,null,null,null,null,1858,Belleair,Harford,MD,null,null,null,null,Robert Hollan,null,-76.1719,39.22261
Robinson,Robert N.,null,M,22,null,1,Mar,1855,Richmond,Henrico,VA,null,null,null,Schooner,Robert Slater,null,-77.43367,37.54068
Ross,Charles,null,M,23,null,null,null,1859,Greensborough,Caroline,MD,null,null,null,null,Rodgers,null,-75.80493,38.97372
Casting,Edward,null,M,17,null,null,null,1860,Duck Creek,Baltimore,MD,X,null,null,null,Robert Moore,null,-96.63888,32.91262
Bayne,Richard,null,M,23,M,null,null,1858,Alexandria,Fairfax,VA,null,null,X,null,Rudolph Massey,null,-77.04341,38.8046
